"","matches.final","county_1","county_0","FIPS_1","FIPS_0"
"1","1.101","Frederick County, Maryland","Loudoun County, Virginia","24021","51107"
"2","1.1069","Harrison County, Iowa","Burt County, Nebraska","19085","31021"
"3","1.80","Whitley County, Kentucky","Claiborne County, Tennessee","21235","47025"
"4","1.1095","Monona County, Iowa","Thurston County, Nebraska","19133","31173"
"5","1.1160","Calloway County, Kentucky","Henry County, Tennessee","21035","47079"
"6","1.1169","Clinton County, Kentucky","Clay County, Tennessee","21053","47027"
"7","1.1184","Graves County, Kentucky","Weakley County, Tennessee","21083","47183"
"8","1.221","Mississippi County, Arkansas","Dyer County, Tennessee","05093","47045"
"9","1.30","Logan County, Kentucky","Robertson County, Tennessee","21141","47147"
"10","1.359","Gloucester County, New Jersey","Philadelphia County, Pennsylvania","34015","42101"
"11","1.466","Tioga County, New York","Susquehanna County, Pennsylvania","36107","42115"
"12","1.526","Richland County, North Dakota","Roberts County, South Dakota","38077","46109"
"13","1.598","Mercer County, Ohio","Jay County, Indiana","39107","18075"
"14","1.805","Brooke County, West Virginia","Washington County, Pennsylvania","54009","42125"
"15","1.763","Asotin County, Washington","Nez Perce County, Idaho","53003","16069"
"16","1.917","Alexander County, Illinois","Mississippi County, Missouri","17003","29133"
"17","1.93","Baltimore County, Maryland","York County, Pennsylvania","24005","42133"
"18","1.995","St. Clair County, Illinois","St. Louis City County, Missouri","17163","29510"
