"","matches.final","county_1","county_2","county_3","county_4","county_5","county_6","county_7","county_8","county_9","county_10","county_11"
"1","1.1006","Wabash County, Illinois","Lake County, South Dakota","","","","","","","","",""
"2","1.1034","Buena Vista County, Iowa","Yankton County, South Dakota","","","","","","","","",""
"3","1.1043","Chickasaw County, Iowa","Cooper County, Missouri","","","","","","","","",""
"4","1.1069","Harrison County, Iowa","Burt County, Nebraska","","","","","","","","",""
"5","1.1091","Marion County, Iowa","Brown County, South Dakota","","","","","","","","",""
"6","1.1092","Marshall County, Iowa","Penobscot County, Maine","","","","","","","","",""
"7","1.1099","Obrien County, Iowa","Platte County, Nebraska","","","","","","","","",""
"8","1.1119","Van Buren County, Iowa","Laclede County, Missouri","","","","","","","","",""
"9","1.1145","Ballard County, Kentucky","Lee County, North Carolina","","","","","","","","",""
"10","1.1159","Caldwell County, Kentucky","Giles County, Virginia","","","","","","","","",""
"11","1.1168","Bartow County, Georgia","Clark County, Kentucky","","","","","","","","",""
"12","1.1172","Daviess County, Kentucky","Schuylkill County, Pennsylvania","","","","","","","","",""
"13","1.1178","Harrison County, Indiana","Fleming County, Kentucky","","","","","","","","",""
"14","1.1185","Grayson County, Kentucky","Lewis County, Tennessee","","","","","","","","",""
"15","1.131","Lawrence County, Arkansas","Rush County, Indiana","","","","","","","","",""
"16","1.138","St. Joseph County, Indiana","Calhoun County, Michigan","","","","","","","","",""
"17","1.30","Logan County, Kentucky","Robertson County, Tennessee","","","","","","","","",""
"18","1.303","Poinsett County, Arkansas","Butler County, Missouri","","","","","","","","",""
"19","1.475","Yates County, New York","Clinton County, Pennsylvania","","","","","","","","",""
"20","1.495","Boone County, Missouri","Cass County, North Dakota","","","","","","","","",""
"21","1.522","Ramsey County, North Dakota","Codington County, South Dakota","","","","","","","","",""
"22","1.537","Saunders County, Nebraska","Walsh County, North Dakota","","","","","","","","",""
"23","1.542","Allen County, Ohio","Cambria County, Pennsylvania","","","","","","","","",""
"24","1.548","Belmont County, Ohio","Butler County, Pennsylvania","","","","","","","","",""
"25","1.554","Clermont County, Ohio","Lawrence County, Pennsylvania","","","","","","","","",""
"26","1.576","Lawrence County, Indiana","Hardin County, Ohio","","","","","","","","",""
"27","1.577","Harrison County, Ohio","Beaver County, Pennsylvania","","","","","","","","",""
"28","1.580","Clay County, Indiana","Highland County, Ohio","","","","","","","","",""
"29","1.584","Jackson County, Ohio","Columbia County, Pennsylvania","","","","","","","","",""
"30","1.588","Lawrence County, Ohio","Lebanon County, Pennsylvania","","","","","","","","",""
"31","1.600","Marshall County, Indiana","Miami County, Ohio","","","","","","","","",""
"32","1.603","Morgan County, Ohio","Carbon County, Pennsylvania","","","","","","","","",""
"33","1.610","Randolph County, Indiana","Pickaway County, Ohio","","","","","","","","",""
"34","1.65","Russell County, Kentucky","Rutherford County, North Carolina","","","","","","","","",""
"35","1.68","Floyd County, Indiana","Simpson County, Kentucky","","","","","","","","",""
"36","1.749","Fairfield County, Connecticut","Bucks County, Pennsylvania","","","","","","","","",""
"37","1.793","Kennebec County, Maine","Spokane County, Washington","","","","","","","","",""
"38","1.85","Greene County, Arkansas","Decatur County, Indiana","","","","","","","","",""
"39","1.9","Henderson County, Kentucky","New Madrid County, Missouri","","","","","","","","",""
"40","1.924","Cass County, Illinois","Union County, Indiana","","","","","","","","",""
"41","1.989","Pike County, Illinois","Richmond County, North Carolina","","","","","","","","",""
"42","1.993","Randolph County, Illinois","St. Francois County, Missouri","","","","","","","","",""
"43","1.43","Drew County, Arkansas","Baldwin County, Georgia","Davie County, North Carolina","","","","","","","",""
"44","1.565","Shelby County, Indiana","Fairfield County, Ohio","Indiana County, Pennsylvania","","","","","","","",""
"45","1.589","St. Charles County, Missouri","Licking County, Ohio","Somerset County, Pennsylvania","Tioga County, Pennsylvania","","","","","","",""
"46","1.1012","Williamson County, Illinois","Dubuque County, Iowa","Genesee County, Michigan","Steele County, Minnesota","Lehigh County, Pennsylvania","Kent County, Rhode Island","Waupaca County, Wisconsin","","","",""
"47","1.1176","Crawford County, Arkansas","Lafayette County, Missouri","McDonald County, Missouri","Phelps County, Missouri","Saline County, Missouri","Lincoln County, North Carolina","York County, South Carolina","Brazoria County, Texas","","",""
"48","1.753","Middlesex County, Connecticut","Clinton County, Michigan","Menominee County, Michigan","Midland County, Michigan","Anoka County, Minnesota","Washington County, Nebraska","Orange County, New York","Saratoga County, New York","Calumet County, Wisconsin","Walworth County, Wisconsin","Washington County, Wisconsin"
