"","match","cntyName","stateName","treat","s","K","mort","pred","e","m","q"
"1",1,"Baltimore","Maryland",1,0,0,893,830.878111441529,0.0536299992147153,507191.182087754,518298124129.137
"2",1,"York","Pennsylvania",0,0,0,414,428.813674115445,-0.0536299992147153,278923.139206319,-302202385113.768
"3",2,"St. Clair","Illinois",1,0,0,362,347.46372343792,0.0635510478914778,163236.372188986,276249235160.141
"4",2,"St. Louis City","Missouri",0,0,0,621,676.849695302494,-0.0635510478914778,194157.13503729,-310747806562.495
"5",3,"Clinton","Kentucky",1,1,1,22,21.6598171690159,0.00192042786729352,6421.95564606309,1673450216.7161
"6",3,"Clay","Tennessee",0,0,1,16,15.8132140883077,-0.00192042786729352,4785.82154460265,1193463636.20308
"7",4,"Mercer","Ohio",1,1,1,54,39.2966673781539,0.0535902891034985,25130.9730338648,12303540620.8562
"8",4,"Jay","Indiana",0,1,1,37,29.9717166917986,-0.0535902891034985,12495.8722418493,-9897257371.16082
"9",5,"Chickasaw","Iowa",1,1,1,NA,0,0.261541541175131,7864.54897533442,20240659948.981
"10",5,"Cooper","Missouri",0,0,1,14,23.6211007459045,-0.261541541175131,10689.3134457274,-27480443035.4256
"11",6,"Williamson","Illinois",1,0,1,87,87.1541737735679,0.0378311685732086,40613.6756549662,12493509078.7881
"12",6,"Dubuque","Iowa",1,0,1,91,84.2308865942657,0.116899540946748,58139.6191102454,141276759370.526
"13",6,"Genesee","Michigan",1,0,1,637,599.414007935362,0.100418843608378,258127.134785225,545600740170.704
"14",6,"Steele","Minnesota",1,0,1,26,28.7220235023518,-0.0599659473120692,21977.5160446053,-30424833782.3185
"15",6,"Kent","Rhode Island",1,0,1,145,165.088251016638,-0.0901447305679602,111384.718512585,-212303540599.594
"16",6,"Waupaca","Wisconsin",1,1,1,49,56.1942113759879,-0.0973917404822785,34303.1676716992,-73960283133.9512
"17",6,"Lehigh","Pennsylvania",0,0,1,325,340.724430770557,-0.00764713476602706,216786.925654746,6027137212.16406
"18",7,"Crawford","Arkansas",1,0,0,86,95.3754104398434,-0.156456059818203,36883.267942526,-93066101432.235
"19",7,"Lafayette","Missouri",0,0,0,45,40.7802624704494,0.0454817253462694,20189.8089779046,8969443547.61037
"20",7,"McDonald","Missouri",0,0,0,48,39.9096319750134,0.131600750218341,13720.9384108662,34327281066.9292
"21",7,"Phelps","Missouri",0,0,0,74,60.6624083323658,0.145758326538544,25127.6428383295,63840944795.9834
"22",7,"Saline","Missouri",0,0,0,34,30.8476723362555,0.0443166650799474,13545.7949173814,4900567224.70678
"23",7,"Lincoln","North Carolina",0,0,0,85,88.7239459667948,-0.0958611252389585,52175.5811961916,-107982510288.478
"24",7,"York","South Carolina",0,0,0,264,276.938750745386,-0.100829825192707,147998.465871604,-346076503415.021
"25",7,"Brazoria","Texas",0,0,0,348,334.698582697861,-0.0140104569332346,195400.897273309,-75109310268.0895
